VIN,Make,Model,Year,Trim,Color,MSRP,Invoice,StockNumber,DateReceived,Status,Location
1HGBH41JXMN109186,Honda,Civic,2024,LX,Silver,24500,22800,H001,2024-10-15,Available,Main Lot
2T1BURHE5JC123456,Toyota,Corolla,2024,LE,White,25200,23400,T001,2024-09-20,Available,Main Lot
1FA6P8TH5L5123789,Ford,Mustang,2024,EcoBoost,Red,32500,30200,F001,2024-08-10,Available,Main Lot
1G1ZD5ST8LF123456,Chevrolet,Malibu,2024,LT,Blue,28900,26800,C001,2024-07-25,Available,Main Lot
KNDJP3A59L7123456,Kia,Forte,2024,LXS,Black,22800,21200,K001,2024-11-01,Available,Main Lot
3VWD17AJ8LM123456,Volkswagen,Jetta,2024,S,Gray,23400,21800,V001,2024-09-05,Available,Main Lot
1HGCV1F39LA123456,Honda,Accord,2024,Sport,White,32800,30500,H002,2024-06-15,Available,Main Lot
4T1C11AK5LU123456,Toyota,Camry,2024,LE,Silver,28400,26300,T002,2024-08-30,Available,Main Lot
1FA6P8TH2L5234567,Ford,Mustang,2024,GT,Yellow,42500,39800,F002,2024-05-20,Available,Main Lot
1G1ZD5ST1LF234567,Chevrolet,Malibu,2024,Premier,Red,34200,31800,C002,2024-07-10,Available,Main Lot
KNDJP3A52L7234567,Kia,Forte,2024,GT,White,26800,24900,K002,2024-10-20,Available,Main Lot
3VWD17AJ2LM234567,Volkswagen,Jetta,2024,SEL,Blue,28900,26800,V002,2024-08-25,Available,Main Lot
1HGBH41J1MN234567,Honda,Civic,2024,Sport,Black,27500,25600,H003,2024-09-12,Available,Main Lot
2T1BURHE1JC234567,Toyota,Corolla,2024,XLE,Gray,28700,26600,T003,2024-06-30,Available,Main Lot
1FA6P8TH6L5345678,Ford,Mustang,2024,EcoBoost Premium,Blue,38900,36200,F003,2024-07-18,Available,Main Lot
1G1ZD5ST5LF345678,Chevrolet,Malibu,2024,RS,Black,31200,29000,C003,2024-08-05,Available,Main Lot
KNDJP3A55L7345678,Kia,Forte,2024,EX,Silver,24900,23100,K003,2024-09-28,Available,Main Lot
3VWD17AJ5LM345678,Volkswagen,Jetta,2024,GLI,Red,31800,29500,V003,2024-06-08,Available,Main Lot
1HGCV1F32LA345678,Honda,Accord,2024,EX-L,Gray,36400,33800,H004,2024-05-15,Available,Main Lot
4T1C11AK8LU345678,Toyota,Camry,2024,XSE,White,34200,31700,T004,2024-07-02,Available,Main Lot
1FA6P8TH9L5456789,Ford,Mustang,2023,EcoBoost,Green,30500,28300,F004,2024-04-20,Available,Main Lot
1G1ZD5ST8LF456789,Chevrolet,Malibu,2023,LT,Silver,26900,24900,C004,2024-03-15,Available,Main Lot
KNDJP3A58L7456789,Kia,Forte,2023,LXS,Blue,21800,20200,K004,2024-02-28,Available,Main Lot
3VWD17AJ8LM456789,Volkswagen,Jetta,2023,S,White,22400,20800,V004,2024-01-10,Available,Main Lot
1HGBH41J4MN456789,Honda,Civic,2023,LX,Red,23500,21800,H005,2024-03-22,Available,Main Lot
